AccountId,Region,VpcId,Name,CidrBlock,IsDefault,State,DhcpOptionsId,InstanceTenancy,AdditionalCidrBlocks,Tags,RejectionReason,Suggestion,ErrorDetails
481426791384,us-east-2,vpc-09404f40d257109e4,lesson02-vpc,10.0.0.0/16,False,available,dopt-d3b44db8,default,[],"[{'Key': 'Name', 'Value': 'lesson02-vpc'}, {'Key': 'owner', 'Value': 'Sentil'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
481426791384,us-east-2,vpc-030c6a564e1f26c22,Unnamed,10.0.0.0/16,False,available,dopt-d3b44db8,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
481426791384,us-west-1,vpc-0dd4377e61065c5f6,Unnamed,10.0.0.0/16,False,available,dopt-64a49303,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
481426791384,us-west-2,vpc-0f17d0ab6e001045f,my-vpc,10.0.0.0/16,False,available,dopt-2ff15e57,default,[],"[{'Key': 'hashicorp-learn', 'Value': 'lambda-api-gateway'}, {'Key': 'Name', 'Value': 'my-vpc'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
481426791384,us-west-2,vpc-0821c3949bf761ba5,MyVPC,10.0.0.0/16,False,available,dopt-2ff15e57,default,[],"[{'Key': 'Name', 'Value': 'MyVPC'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
684837204429,ap-southeast-1,vpc-0f75b0acd9a271f99,Unnamed,10.0.0.0/16,False,available,dopt-7e974d1a,default,[],"[{'Key': 'aws:cloudformation:stack-id', 'Value': 'arn:aws:cloudformation:ap-southeast-1:684837204429:stack/amazon-ecs-cli-setup-dsmpoc/1f1c13c0-03ae-11ed-a1b4-06c0e9a78e92'}, {'Key': 'aws:cloudformation:stack-name', 'Value': 'amazon-ecs-cli-setup-dsmpoc'}, {'Key': 'aws:cloudformation:logical-id', 'Value': 'Vpc'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
690872919680,us-west-2,vpc-0196d071de4ec65d8,project-vpc,10.0.0.0/16,False,available,dopt-0d4744e80cbe9b599,default,[],"[{'Key': 'Name', 'Value': 'project-vpc'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
777050211007,us-east-1,vpc-05b4ff9c5639a47bf,mi-lz-dc-hotelops-test-us-east-1-vpc,10.212.76.0/24,False,available,dopt-0b962f000f9ad33d3,default,"['10.215.90.0/23', '10.215.106.0/23']","[{'Key': 'owner', 'Value': 'I: MGP PMS Loy Adaption Layer Subha Krishnan'}, {'Key': 'project', 'Value': 'lz hotelops-dev account for MGP team'}, {'Key': 'createdby', 'Value': 'anjok224'}, {'Key': 'Requested_By', 'Value': 'MGP'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2023-02-14T19:49:09Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}, {'Key': 'dud', 'Value': '52529967301'}, {'Key': 'Propagate-to', 'Value': 'tgw-nonprod-accounts-rt,tgw-dx-nonprod-rt,tgw-shared-account-rt,tgw-virginia-oregon-peer-rt'}, {'Key': 'Name', 'Value': 'mi-lz-dc-hotelops-test-us-east-1-vpc'}, {'Key': 'Description', 'Value': 'Deployment of DocumentDB by hotelops Developers '}, {'Key': 'tfe_created', 'Value': 'true'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2023-02-14T19:49:07Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'location', 'Value': 'aws-us-east-1'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2023-02-14T19:45:29Z: VPC has been attached to the Transit Gateway'}, {'Key': 'Associate-with', 'Value': 'tgw-nonprod-accounts-rt'}, {'Key': 'environment', 'Value': 'test'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
780727336067,us-east-1,vpc-0ee0a7e20122740bd,mi-s3-sftp-public-nacl,10.0.0.0/16,False,available,dopt-b55839d2,default,[],"[{'Key': 'Name', 'Value': 'mi-s3-sftp-public-nacl'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
780727336067,us-east-1,vpc-0ef33405ae4a5c8fe,mi-na-druva-restore-public-dmz,10.0.0.0/16,False,available,dopt-b55839d2,default,[],"[{'Key': 'Name', 'Value': 'mi-na-druva-restore-public-dmz'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
883113265457,us-west-2,vpc-0edcf91ff4670aeda,Unified-VPC,10.0.0.0/16,False,available,dopt-ceda57b6,default,[],"[{'Key': 'Name', 'Value': 'Unified-VPC'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
883113265457,us-west-2,vpc-0d386ea48402c39fc,Unnamed,10.0.0.0/16,False,available,dopt-ceda57b6,default,[],"[{'Key': 'kinesisDataStreamEncryptionMb4uk6XAFrMvuQmcIFu4-q2RHDB7AiQDGOGRMe1cF8b36KJGZgwVRsE=', 'Value': 'gAAAAABnNEgsanDc--2pMhr8kB94qAqymj2xjx_W0bfkxMC9dMOMyB50S9rI5GeelrPwrOf_f6zgGOYxuUxjhCD-yH5mBMUDoi92sHFgGP4pqL2rE4ecA3B-gZDYN3pm'}, {'Key': 'key1', 'Value': 'key2'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
883113265457,us-west-2,vpc-04653ba922d95dcc9,Shirong-Network-Firewall-POC-Automation-Inspection-VPC,192.168.0.0/16,False,available,dopt-ceda57b6,default,[],"[{'Key': 'aws:cloudformation:stack-id', 'Value': 'arn:aws:cloudformation:us-west-2:883113265457:stack/Shirong-Network-Firewall-POC-Automation/b7781e20-7a7c-11ee-9a43-06fbdedb5a51'}, {'Key': 'aws:cloudformation:stack-name', 'Value': 'Shirong-Network-Firewall-POC-Automation'}, {'Key': 'Project', 'Value': 'AWS Network Firewall POC'}, {'Key': 'Createdby', 'Value': 'Shirong Du'}, {'Key': 'Name', 'Value': 'Shirong-Network-Firewall-POC-Automation-Inspection-VPC'}, {'Key': 'aws:cloudformation:logical-id', 'Value': 'VPC'}, {'Key': 'created-by', 'Value': 'firewall-automation-for-network-traffic-on-aws'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
871216462967,us-east-1,vpc-0cbff289dc334981f,SecurityAutomation,10.0.0.0/16,False,available,dopt-1658ec6d,default,[],"[{'Key': 'Name', 'Value': 'SecurityAutomation'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
