site_id,m_host,prefixes,post response
1660255935950012896,LWCKSP01,['10.128.100.0/22'],
1660256105116024396,ONTSTP01,['10.156.176.0/22'],
1660254644036021696,OMATSP01,['10.138.120.0/22'],
1660254352201022296,SLCPSP01,['10.153.72.0/22'],
1660252155119003396,IDARIP01,['10.139.52.0/22'],
1660254205108015996,SANDLP01,['10.152.12.0/22'],
1660255646128017296,GEGRIP01,['10.144.212.0/22'],
1660254279123020696,IGMSHP01,['10.156.40.0/22'],
1660254014736006396,SJCBAP01,['10.146.120.0/22'],
1660252697859011096,HOUKMP01,['10.155.92.0/22'],
1660252920133017696,GFKSHP01,['10.138.152.0/22'],
1660736840437018296,RICOXP01,['10.26.204.0/22'],
1660255752723020596,SJTSHP01,['10.154.168.0/22'],
1660252462471021596,SACSTP01,['10.155.224.0/22'],
1660252571705006996,SLCSAP01,['10.155.244.0/22'],
1660252363956024596,ONTCRP01,['10.156.28.0/22'],
1660916389995004096,ATLBUP01,['10.118.92.0/22'],
1660253298050016496,MAFMTP01,['10.157.192.0/22'],
1660918081918019596,IDATSP01,['10.137.156.0/22'],
1660918131921021296,SLCSYP01,['10.145.208.0/22'],
1660918191618015296,SACRRP01,['10.149.84.0/22'],
1660917002623024196,PHXGBP01,['10.157.76.0/22'],
1660917248013000896,PHLVFP01,['10.103.16.0/22'],
1660919086303002796,DDCTSP01,['10.139.188.0/22'],
1660918518304014896,MAFRIP01,['10.155.184.0/22'],
1660919135213005596,TUSAPP01,['10.155.40.0/22'],
1660917338715009296,MLIQCP01,['10.138.76.0/22'],
1660917406305011896,GRBSHP01,['10.139.120.0/22'],
1660918579550023596,BTLFIP01,['10.132.180.0/22'],
1660918402219012396,LANSHP01,['10.128.20.0/22'],
1660917677618015696,ATLKBP01,['10.125.248.0/22'],
1660918299974010296,MAFLDP01,['10.153.252.0/22'],
1660918727205008596,PAHRIP01,['10.137.160.0/22'],
1660918773495024396,SANVIP01,['10.157.84.0/22'],
1660917899627007996,MCIUNP01,['10.128.112.0/22'],
1660919226352017396,BNAVIP01,['10.126.112.0/22'],
1660918906110002696,GRRHOP01,['10.131.24.0/22'],
1660917962478016496,PDXSHP01,['10.144.108.0/22'],
1660918248142016196,FAYTSP01,['10.123.80.0/22'],
1661552549202015996,PRHFIP01,['10.133.204.0/22'],
1661534546783011896,SATNLP01,['10.151.16.0/22'],
