AccountId,Region,VpcId,Name,CidrBlock,IsDefault,State,DhcpOptionsId,InstanceTenancy,AdditionalCidrBlocks,Tags,RejectionReason,Suggestion,ErrorDetails
336942569330,us-west-2,vpc-0917c67c9e9d8e8d3,mi-lz-na-loyalty-prod-us-west-2-vpc,10.216.136.0/23,False,available,dopt-0b2a9eba0b54c930e,default,[],"[{'Key': 'RequestedBy', 'Value': 'RYUVA346'}, {'Key': 'Associate-with', 'Value': 'tgw-prod-accounts-rt'}, {'Key': 'STNOStatus-VPCPropagation', 'Value': '2023-07-13T15:25:44Z: VPC RT propagation has been enabled to the Transit Gateway Routing Table/Domain'}, {'Key': 'createdby', 'Value': 'amanj426'}, {'Key': 'STNOStatus-VPCAssociation', 'Value': '2023-07-13T15:24:53Z: VPC has been associated with the Transit Gateway Routing Table/Domain'}, {'Key': 'tfc_created', 'Value': 'true'}, {'Key': 'Propagate-to', 'Value': 'tgw-prod-accounts-rt,tgw-dx-prod-rt,tgw-shared-account-rt,tgw-oregon-virginia-peer-rt'}, {'Key': 'dud', 'Value': '51519541887'}, {'Key': 'STNOStatus-VPCAttachment', 'Value': '2023-07-13T15:22:51Z: VPC has been attached to the Transit Gateway'}, {'Key': 'Name', 'Value': 'mi-lz-na-loyalty-prod-us-west-2-vpc'}, {'Key': 'Description', 'Value': ' VPC, routing and Subnet configured for this account in us-west-2'}, {'Key': 'owner', 'Value': 'F:Loyalty Dawn Robertson'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'location', 'Value': 'aws-us-west-2'}, {'Key': 'project', 'Value': 'DR POD request to build UGI environment in 336942569330 US-West-2 region'}, {'Key': 'environment', 'Value': 'prod'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
339712715860,us-east-1,vpc-0db52312bd95ac1fa,mi-lz-mcom-sandbox-us-east-1-vpc,192.168.0.0/23,False,available,dopt-02b392a54e47f1544,default,[],"[{'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'createdby', 'Value': 'rjain362'}, {'Key': 'dud', 'Value': '51519541985'}, {'Key': 'tfc_created', 'Value': 'true'}, {'Key': 'Name', 'Value': 'mi-lz-mcom-sandbox-us-east-1-vpc'}, {'Key': 'environment', 'Value': 'sandbox'}, {'Key': 'project', 'Value': 'Marriott Bonvoy Mobile App'}, {'Key': 'owner', 'Value': 'F Marriott  com Tina Alexander'}, {'Key': 'location', 'Value': 'aws-us-east-1'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
339712829092,us-east-1,vpc-0b2d8e3d247994073,mi-lz-icd-core-team-sandbox-us-east-1-vpc,192.168.0.0/23,False,available,dopt-07e7b816a0931aa4a,default,['192.168.4.0/23'],"[{'Key': 'location', 'Value': 'aws-us-east-1'}, {'Key': 'Name', 'Value': 'mi-lz-icd-core-team-sandbox-us-east-1-vpc'}, {'Key': 'cloudservice', 'Value': 'no_tier0_vpc'}, {'Key': 'project', 'Value': 'Sandbox Account in AWS for ransomware detection product POC'}, {'Key': 'environment', 'Value': 'sandbox'}, {'Key': 'dud', 'Value': '51519542158'}, {'Key': 'owner', 'Value': 'S:Public Cloud Adnan Haq'}, {'Key': 'createdby', 'Value': 'rjain362'}, {'Key': 'tfc_created', 'Value': 'true'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
342047190587,us-west-2,vpc-01b4aab4ed6430414,sg-audit-test,10.0.0.0/24,False,available,dopt-06f5e31479f1a79b9,default,[],"[{'Key': 'palo_alto_dag', 'Value': 'POC_AWS_RYAN_JAMES'}, {'Key': 'Environment', 'Value': ''}, {'Key': 'Name', 'Value': 'sg-audit-test'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
346680195314,us-east-1,vpc-054b726dd90f00b89,Unnamed,172.30.0.0/16,False,available,dopt-05cfeb3ddbb3c47ad,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
346680195314,us-east-1,vpc-0c2db6fb34bd941b1,Unnamed,172.30.0.0/16,False,available,dopt-05cfeb3ddbb3c47ad,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
346680195314,us-west-2,vpc-0bf56d96f3d66600a,project-vpc,10.0.0.0/16,False,available,dopt-05f351672312418d3,default,[],"[{'Key': 'Name', 'Value': 'project-vpc'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
457352897684,us-west-2,vpc-0e25095352ea3efdc,data-migration-vpc,172.25.212.0/23,False,available,dopt-a615a4de,default,[],"[{'Key': 'Name', 'Value': 'data-migration-vpc'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
448347543675,us-east-2,vpc-0e87663cff375a176,csao-test,10.0.0.0/24,False,available,dopt-093c469387d823562,default,[],"[{'Key': 'Name', 'Value': 'csao-test'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
485982219833,us-west-2,vpc-0b2a49427a1e78654,Unnamed,172.30.0.0/16,False,available,dopt-0e9235d4f15e57213,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
477893803077,us-west-2,vpc-05836686940294640,data-migration-vpc-temp,172.25.210.0/23,False,available,dopt-dcff4fa4,default,[],"[{'Key': 'Name', 'Value': 'data-migration-vpc-temp'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
482478851458,us-east-1,vpc-0b73de28b457b6d03,CL-PrimaryStack/ESVPC,10.0.0.0/16,False,available,dopt-04a1018be908b91ac,default,[],"[{'Key': 'createdby', 'Value': 'supad062'}, {'Key': 'aws:cloudformation:stack-id', 'Value': 'arn:aws:cloudformation:us-east-1:482478851458:stack/opensearch-poc/6768ee50-3b70-11ee-9806-0e241c42da07'}, {'Key': 'aws:cloudformation:logical-id', 'Value': 'ESVPC3CEAD2A7'}, {'Key': 'aws:cloudformation:stack-name', 'Value': 'opensearch-poc'}, {'Key': 'project', 'Value': 'opensearch-poc'}, {'Key': 'accenture_ru', 'Value': 'y'}, {'Key': 'Name', 'Value': 'CL-PrimaryStack/ESVPC'}, {'Key': 'dud', 'Value': '51519542158 '}, {'Key': 'environment', 'Value': 'dev'}, {'Key': 'location', 'Value': 'aws-us-east-1'}, {'Key': 'owner', 'Value': 'Ruby Siddiqui'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
482478851458,us-west-2,vpc-0b15ba5487c4cd556,project-vpc,172.16.0.0/16,False,available,dopt-094c6a3b992bb09f3,default,[],"[{'Key': 'accenture_ru', 'Value': 'n'}, {'Key': 'owner', 'Value': 'CTP DR Pod'}, {'Key': 'AutoPatch', 'Value': 'True'}, {'Key': 'location', 'Value': 'aws-useast1'}, {'Key': 'project', 'Value': 'fromEDR'}, {'Key': 'program', 'Value': 'Disaster Recovery'}, {'Key': 'category', 'Value': 'apps'}, {'Key': 'createdby', 'Value': 'DRS service'}, {'Key': 'Lineage', 'Value': '0'}, {'Key': 'cloudservice', 'Value': 'no_tier0_ec2'}, {'Key': 'Name', 'Value': 'project-vpc'}, {'Key': 'dud', 'Value': '52529967626'}, {'Key': 'environment', 'Value': 'nonprod'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
481426791384,us-east-1,vpc-064100be0926e88df,RlSecTestVPC,10.0.0.0/16,False,available,dopt-ab4d40d0,default,[],"[{'Key': 'Name', 'Value': 'RlSecTestVPC'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
481426791384,us-east-1,vpc-1e3f5f64,Default,172.31.0.0/16,True,available,dopt-ab4d40d0,default,[],"[{'Key': 'Name', 'Value': 'Default'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
481426791384,us-east-1,vpc-0235f93c49cea09f2,MyVPC,10.0.0.0/16,False,available,dopt-ab4d40d0,default,[],"[{'Key': 'Name', 'Value': 'MyVPC'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
481426791384,us-east-2,vpc-ac2ecac7,Unnamed,172.31.0.0/16,True,available,dopt-d3b44db8,default,[],[],Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
481426791384,us-east-2,vpc-09404f40d257109e4,lesson02-vpc,10.0.0.0/16,False,available,dopt-d3b44db8,default,[],"[{'Key': 'Name', 'Value': 'lesson02-vpc'}, {'Key': 'owner', 'Value': 'Sentil'}]",Unknown error,Review error details,400 Client Error: Bad Request for url: https://192.168.1.222/wapi/v2.13.1/network
