AccountId,Region,VpcId,Name,CidrBlock,RejectionReason,ErrorDetails
690872919680,us-west-2,vpc-0196d071de4ec65d8,project-vpc,10.0.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
780727336067,us-east-1,vpc-0ee0a7e20122740bd,mi-s3-sftp-public-nacl,10.0.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
780727336067,us-east-1,vpc-0ef33405ae4a5c8fe,mi-na-druva-restore-public-dmz,10.0.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
838470345955,us-east-2,vpc-04ad4cb4f97f208e7,Unnamed,172.30.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
883113265457,us-east-1,vpc-0b730000921bd0f5a,Tennable,172.31.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
883113265457,us-east-1,vpc-0d2595e8d83b07a10,ForensicsVPC,172.16.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
883113265457,us-east-2,vpc-d00af4bb,Unnamed,172.31.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
883113265457,us-west-2,vpc-0edcf91ff4670aeda,Unified-VPC,10.0.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
883113265457,us-west-2,vpc-0885bfcabd13d3503,network-firewall-poc-application-private,172.16.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
883113265457,us-west-2,vpc-0d386ea48402c39fc,Unnamed,10.0.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
883113265457,us-west-2,vpc-01c666f3b187a625e,Unnamed,172.31.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
871216462967,us-east-1,vpc-534b5c28,Unnamed,172.31.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
871216462967,us-east-1,vpc-0cbff289dc334981f,SecurityAutomation,10.0.0.0/16,Unknown error,400 Client Error: Bad Request for url: https://10.82.108.28/wapi/v2.13.1/network
